Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
82608-71077,QB,Cole,Cole Kelley,Kelley,,,6000,MIN@WAS,WAS,MIN,,,,,,QB
82608-60840,QB,Jake,Jake Browning,Browning,,,6000,CAR@CIN,CIN,CAR,,,,,,QB
82608-25011,TE,Darren,Darren Waller,Waller,7.875,4,6000,LV@JAC,LV,JAC,Q,Hamstring,,,,TE/FLEX
82608-72241,QB,Drew,Drew Plitt,Plitt,,,6000,CAR@CIN,CIN,CAR,,,,,,QB
82608-88630,QB,Matt,Matt Corral,Corral,,,6000,CAR@CIN,CAR,CIN,IR,Foot,,,,QB
82608-89658,QB,Jack,Jack Coan,Coan,,,6000,IND@NE,IND,NE,,,,,,QB
82608-71232,QB,D'Eriq,D'Eriq King,King,,,6000,IND@NE,NE,IND,,,,,,QB
82608-71242,QB,Jarrett,Jarrett Guarantano,Guarantano,,,6000,SEA@ARI,ARI,SEA,,,,,,QB
82608-40534,QB,Mike,Mike White,White,13.005000114440918,4,6000,BUF@NYJ,NYJ,BUF,,,,,,QB
82608-69294,QB,Skylar,Skylar Thompson,Thompson,4.050000190734863,2,6000,MIA@CHI,MIA,CHI,,,,,,QB
82608-69302,QB,Feleipe,Feleipe Franks,Franks,0,1,6000,LAC@ATL,ATL,LAC,,,,,,QB
82608-69304,QB,Kyle,Kyle Trask,Trask,,,6000,LAR@TB,TB,LAR,,,,,,QB
82608-29445,QB,Sean,Sean Mannion,Mannion,12.960000038146973,1,6000,SEA@ARI,SEA,ARI,,,,,,QB
82608-33647,QB,Kyle,Kyle Sloter,Sloter,,,6000,LV@JAC,JAC,LV,,,,,,QB
82608-38767,QB,Chris,Chris Streveler,Streveler,1.0199999809265137,2,6000,BUF@NYJ,NYJ,BUF,,,,,,QB
82608-169852,QB,Davis,Davis Cheek,Cheek,,,6000,CAR@CIN,CAR,CIN,,,,,,QB
82608-39829,WR,Mike,Mike Williams,Williams,12.285714285714286,7,6000,LAC@ATL,LAC,ATL,O,Ankle,,,,WR/FLEX
82608-29605,QB,Matt,Matt Barkley,Barkley,,,6000,BUF@NYJ,BUF,NYJ,,,,,,QB
82608-33702,QB,Ryan,Ryan Griffin,Griffin,,,6000,LAR@TB,TB,LAR,,,,,,QB
82608-93103,QB,E.J.,E.J. Perry,Perry,,,6000,LV@JAC,JAC,LV,,,,,,QB
82608-38837,QB,Danny,Danny Etling,Etling,,,6000,GB@DET,GB,DET,,,,,,QB
82608-70603,RB,Devin,Devin Singletary,Singletary,9.442856924874443,7,6000,BUF@NYJ,BUF,NYJ,,,,,,RB/FLEX
82608-56286,QB,Trace,Trace McSorley,McSorley,2.4800000190734863,1,6000,SEA@ARI,ARI,SEA,,,,,,QB
82608-63625,RB,Nyheim,Nyheim Hines,Hines,5.842857360839844,7,5900,BUF@NYJ,BUF,NYJ,,,,,,RB/FLEX
82608-93408,WR,Rondale,Rondale Moore,Moore,8.640000152587891,5,5900,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
82608-73111,WR,Chase,Chase Claypool,Claypool,7.829999923706055,8,5900,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
